Jan  5 00:13:30 c.mx.h2.net sm-mta[8667]: jB88DNFk008667: from=<u13@h2.net>, size=3666, class=-60, nrcpts=1, msgid=<u14@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
Jan  5 00:15:07 a.mx.h2.net sm-mta[15184]: jB88F7Ar015184: from=<u13@h2.net>, size=1577, class=-60, nrcpts=1, msgid=<u6963@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:07 a.mx.h2.net sm-mta[15191]: jB88F7Ar015184: to=<u6969@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229577, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F7Bt016773 Message accepted for delivery) 
Jan  5 00:15:07 c.mx.h2.net sm-mta[12270]: jB88F7Cw012270: from=<u13@h2.net>, size=1420, class=-60, nrcpts=1, msgid=<u6982@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:07 c.mx.h2.net sm-mta[12277]: jB88F7Cw012270: to=<u6987@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229420, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F7x5008810 Message accepted for delivery) 
Jan  5 00:15:07 b.mx.h2.net sm-mta[11454]: jB88F7RQ011454: from=<u13@h2.net>, size=4895, class=-60, nrcpts=1, msgid=<u6989@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:07 b.mx.h2.net sm-mta[11459]: jB88F7RQ011454: to=<u6998@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=232895, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F77u008822 Message accepted for delivery) 
Jan  5 00:15:07 a.mx.h2.net sm-mta[15194]: jB88F7O3015194: from=<u13@h2.net>, size=1814, class=-60, nrcpts=1, msgid=<u7001@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:07 a.mx.h2.net sm-mta[15202]: jB88F7O3015194: to=<u7011@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229814, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F7AM008847 Message accepted for delivery) 
Jan  5 00:15:07 b.mx.h2.net sm-mta[11460]: jB88F74Y011460: from=<u13@h2.net>, size=1808, class=-60, nrcpts=1, msgid=<u7004@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:07 b.mx.h2.net sm-mta[11467]: jB88F74Y011460: to=<u7010@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229808, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F7OQ016819 Message accepted for delivery) 
Jan  5 00:15:08 b.mx.h2.net sm-mta[11471]: jB88F7ue011471: from=<u13@h2.net>, size=1349, class=-60, nrcpts=1, msgid=<u7013@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:08 b.mx.h2.net sm-mta[11478]: jB88F7ue011471: to=<u7017@h2.net>, delay=00:00:01, xdelay=00:00:00, mailer=esmtp, pri=229349, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F8cY016837 Message accepted for delivery) 
Jan  5 00:15:08 d.mx.h2.net sm-mta[16605]: jB88F777016605: from=<u13@h2.net>, size=1663, class=-60, nrcpts=1, msgid=<u7016@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:08 d.mx.h2.net sm-mta[16610]: jB88F777016605: to=<u7018@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229663, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F8E8016845 Message accepted for delivery) 
Jan  5 00:15:08 b.mx.h2.net sm-mta[11480]: jB88F8tP011480: from=<u13@h2.net>, size=1278, class=-60, nrcpts=1, msgid=<u7020@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:08 b.mx.h2.net sm-mta[11486]: jB88F8tP011480: to=<u7024@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229278, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F8QW016879 Message accepted for delivery) 
Jan  5 00:15:08 d.mx.h2.net sm-mta[16611]: jB88F8CO016611: from=<u13@h2.net>, size=1198, class=-60, nrcpts=1, msgid=<u7021@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:08 d.mx.h2.net sm-mta[16616]: jB88F8CO016611: to=<u7025@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229198, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F8Pc016880 Message accepted for delivery) 
Jan  5 00:15:08 a.mx.h2.net sm-mta[15223]: jB88F8Aw015223: from=<u13@h2.net>, size=4975, class=-60, nrcpts=1, msgid=<u7026@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:08 a.mx.h2.net sm-mta[15229]: jB88F8Aw015223: to=<u6041@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=232975, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F8kq008870 Message accepted for delivery) 
Jan  5 00:15:08 c.mx.h2.net sm-mta[12295]: jB88F8iF012295: from=<u13@h2.net>, size=1657, class=-60, nrcpts=1, msgid=<u7028@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:08 c.mx.h2.net sm-mta[12300]: jB88F8iF012295: to=<u7032@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229657, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F8eU008872 Message accepted for delivery) 
Jan  5 00:15:08 a.mx.h2.net sm-mta[15234]: jB88F8HU015234: from=<u13@h2.net>, size=1198, class=-60, nrcpts=1, msgid=<u7034@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:08 a.mx.h2.net sm-mta[15239]: jB88F8HU015234: to=<u7043@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229198, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F8SF016913 Message accepted for delivery) 
Jan  5 00:15:08 b.mx.h2.net sm-mta[11501]: jB88F8x6011501: from=<u13@h2.net>, size=1805, class=-60, nrcpts=1, msgid=<u7042@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:08 b.mx.h2.net sm-mta[11510]: jB88F8x6011501: to=<u7047@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229805, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F8q6016936 Message accepted for delivery) 
Jan  5 00:15:08 b.mx.h2.net sm-mta[11512]: jB88F8xp011512: from=<u13@h2.net>, size=1889, class=-60, nrcpts=1, msgid=<u7051@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:08 b.mx.h2.net sm-mta[11524]: jB88F8xp011512: to=<u7056@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229889, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F8fT008906 Message accepted for delivery) 
Jan  5 00:15:08 b.mx.h2.net sm-mta[11499]: jB88F8Ch011499: from=<u13@h2.net>, size=1272, class=-60, nrcpts=1, msgid=<u7054@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:08 b.mx.h2.net sm-mta[11527]: jB88F8Ch011499: to=<u7055@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229272, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F8xC016964 Message accepted for delivery) 
Jan  5 00:15:09 a.mx.h2.net sm-mta[15244]: jB88F8PI015244: from=<u13@h2.net>, size=1201, class=-60, nrcpts=1, msgid=<u7059@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:09 a.mx.h2.net sm-mta[15251]: jB88F8PI015244: to=<u7062@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229201, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F9Nf016977 Message accepted for delivery) 
Jan  5 00:15:09 d.mx.h2.net sm-mta[16635]: jB88F9BY016635: from=<u13@h2.net>, size=1198, class=-60, nrcpts=1, msgid=<u7060@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:09 d.mx.h2.net sm-mta[16640]: jB88F9BY016635: to=<u7066@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229198, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F9Sa008922 Message accepted for delivery) 
Jan  5 00:15:09 b.mx.h2.net sm-mta[11532]: jB88F9W0011532: from=<u13@h2.net>, size=1201, class=-60, nrcpts=1, msgid=<u7067@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:09 b.mx.h2.net sm-mta[11537]: jB88F9W0011532: to=<u7076@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229201, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F9r9008934 Message accepted for delivery) 
Jan  5 00:15:09 d.mx.h2.net sm-mta[16641]: jB88F9Em016641: from=<u13@h2.net>, size=1278, class=-60, nrcpts=1, msgid=<u7068@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:09 d.mx.h2.net sm-mta[16647]: jB88F9Em016641: to=<u7077@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229278, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F9ik016992 Message accepted for delivery) 
Jan  5 00:15:09 c.mx.h2.net sm-mta[12310]: jB88F9C9012310: from=<u13@h2.net>, size=2813, class=-60, nrcpts=1, msgid=<u7078@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:09 c.mx.h2.net sm-mta[12319]: jB88F9C9012310: to=<u7080@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230813, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F9ji017004 Message accepted for delivery) 
Jan  5 00:15:09 b.mx.h2.net sm-mta[11538]: jB88F9DE011538: from=<u13@h2.net>, size=1198, class=-60, nrcpts=1, msgid=<u7079@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:09 b.mx.h2.net sm-mta[11544]: jB88F9DE011538: to=<u7081@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229198, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F9Pa017005 Message accepted for delivery) 
Jan  5 00:15:09 c.mx.h2.net sm-mta[12321]: jB88F9Iw012321: from=<u13@h2.net>, size=1506, class=-60, nrcpts=1, msgid=<u7086@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:09 c.mx.h2.net sm-mta[12332]: jB88F9Iw012321: to=<u7097@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229506, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F99P017028 Message accepted for delivery) 
Jan  5 00:15:09 b.mx.h2.net sm-mta[11550]: jB88F9ku011550: from=<u13@h2.net>, size=1811, class=-60, nrcpts=1, msgid=<u7100@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:09 b.mx.h2.net sm-mta[11555]: jB88F9ku011550: to=<u7104@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229811, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F9Tt008946 Message accepted for delivery) 
Jan  5 00:15:09 a.mx.h2.net sm-mta[15259]: jB88F9nY015259: from=<u13@h2.net>, size=1192, class=-60, nrcpts=1, msgid=<u7101@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:09 a.mx.h2.net sm-mta[15269]: jB88F9nY015259: to=<u7107@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229192, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F9KZ008947 Message accepted for delivery) 
Jan  5 00:15:09 a.mx.h2.net sm-mta[15263]: jB88F97S015263: from=<u13@h2.net>, size=2896, class=-60, nrcpts=1, msgid=<u7103@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:09 a.mx.h2.net sm-mta[15272]: jB88F97S015263: to=<u7105@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230896, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88F95Y017040 Message accepted for delivery) 
Jan  5 00:15:09 b.mx.h2.net sm-mta[11556]: jB88F9tx011556: from=<u13@h2.net>, size=1272, class=-60, nrcpts=1, msgid=<u7111@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:09 b.mx.h2.net sm-mta[11561]: jB88F9tx011556: to=<u7118@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229272, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FAw9017052 Message accepted for delivery) 
Jan  5 00:15:10 c.mx.h2.net sm-mta[12342]: jB88FAtm012342: from=<u13@h2.net>, size=2280, class=-60, nrcpts=1, msgid=<u7127@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:10 c.mx.h2.net sm-mta[12357]: jB88FAtm012342: to=<u7157@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230280, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FAlY017079 Message accepted for delivery) 
Jan  5 00:15:10 c.mx.h2.net sm-mta[12350]: jB88FA1l012350: from=<u13@h2.net>, size=1192, class=-60, nrcpts=1, msgid=<u7155@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:10 c.mx.h2.net sm-mta[12365]: jB88FA1l012350: to=<u7160@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229192, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FAre017098 Message accepted for delivery) 
Jan  5 00:15:10 d.mx.h2.net sm-mta[16667]: jB88FA8P016667: from=<u13@h2.net>, size=2043, class=-60, nrcpts=1, msgid=<u7158@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:10 d.mx.h2.net sm-mta[16676]: jB88FA8P016667: to=<u7161@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230043, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FAgQ017101 Message accepted for delivery) 
Jan  5 00:15:10 a.mx.h2.net sm-mta[15283]: jB88FASW015283: from=<u13@h2.net>, size=1966, class=-60, nrcpts=1, msgid=<u7162@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:10 a.mx.h2.net sm-mta[15290]: jB88FASW015283: to=<u7174@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229966, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FAA8017128 Message accepted for delivery) 
Jan  5 00:15:10 a.mx.h2.net sm-mta[15293]: jB88FAPj015293: from=<u13@h2.net>, size=8052, class=-60, nrcpts=1, msgid=<u7170@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:10 a.mx.h2.net sm-mta[15300]: jB88FAPj015293: to=<u7175@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=236052, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FA28017142 Message accepted for delivery) 
Jan  5 00:15:10 b.mx.h2.net sm-mta[11564]: jB88FAj4011564: from=<u13@h2.net>, size=1346, class=-60, nrcpts=1, msgid=<u7186@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:10 b.mx.h2.net sm-mta[11573]: jB88FAj4011564: to=<u7195@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229346, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FA3j008982 Message accepted for delivery) 
Jan  5 00:15:10 c.mx.h2.net sm-mta[12366]: jB88FA5G012366: from=<u13@h2.net>, size=6435, class=-60, nrcpts=1, msgid=<u7187@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:10 c.mx.h2.net sm-mta[12395]: jB88FA5G012366: to=<u7216@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=234435, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FANq008990 Message accepted for delivery) 
Jan  5 00:15:10 c.mx.h2.net sm-mta[12367]: jB88FArd012367: from=<u13@h2.net>, size=1731, class=-60, nrcpts=1, msgid=<u7191@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:10 c.mx.h2.net sm-mta[12398]: jB88FArd012367: to=<u7229@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229731, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FAxu017156 Message accepted for delivery) 
Jan  5 00:15:10 b.mx.h2.net sm-mta[11568]: jB88FAd8011568: from=<u13@h2.net>, size=1195, class=-60, nrcpts=1, msgid=<u7196@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:10 b.mx.h2.net sm-mta[11576]: jB88FAd8011568: to=<u7212@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229195, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FAse008984 Message accepted for delivery) 
Jan  5 00:15:10 a.mx.h2.net sm-mta[15301]: jB88FA7T015301: from=<u13@h2.net>, size=1429, class=-60, nrcpts=1, msgid=<u7198@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:10 a.mx.h2.net sm-mta[15307]: jB88FA7T015301: to=<u7214@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229429, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FARn017154 Message accepted for delivery) 
Jan  5 00:15:10 c.mx.h2.net sm-mta[12375]: jB88FAaf012375: from=<u13@h2.net>, size=1195, class=-60, nrcpts=1, msgid=<u7207@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:10 c.mx.h2.net sm-mta[12402]: jB88FAaf012375: to=<u7230@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229195, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FAwj017158 Message accepted for delivery) 
Jan  5 00:15:10 b.mx.h2.net sm-mta[11577]: jB88FAtp011577: from=<u13@h2.net>, size=1346, class=-60, nrcpts=1, msgid=<u7215@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:10 b.mx.h2.net sm-mta[11583]: jB88FAtp011577: to=<u7233@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229346, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FAlH009016 Message accepted for delivery) 
Jan  5 00:15:10 c.mx.h2.net sm-mta[12386]: jB88FAGx012386: from=<u13@h2.net>, size=1432, class=-60, nrcpts=1, msgid=<u7217@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:10 c.mx.h2.net sm-mta[12405]: jB88FAGx012386: to=<u7232@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229432, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FAfM017181 Message accepted for delivery) 
Jan  5 00:15:10 c.mx.h2.net sm-mta[12396]: jB88FASU012396: from=<u13@h2.net>, size=1275, class=-60, nrcpts=1, msgid=<u7231@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:10 c.mx.h2.net sm-mta[12408]: jB88FASU012396: to=<u7236@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229275, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FAAE017201 Message accepted for delivery) 
Jan  5 00:15:11 b.mx.h2.net sm-mta[11603]: jB88FB9D011603: from=<u13@h2.net>, size=1192, class=-60, nrcpts=1, msgid=<u7309@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:11 b.mx.h2.net sm-mta[11612]: jB88FB9D011603: to=<u7331@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229192, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FBZN009047 Message accepted for delivery) 
Jan  5 00:15:11 d.mx.h2.net sm-mta[16715]: jB88FBQL016715: from=<u13@h2.net>, size=1278, class=-60, nrcpts=1, msgid=<u7310@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:11 d.mx.h2.net sm-mta[16721]: jB88FBQL016715: to=<u6150@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229278, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FB3q017266 Message accepted for delivery) 
Jan  5 00:15:11 a.mx.h2.net sm-mta[15329]: jB88FBIQ015329: from=<u13@h2.net>, size=1889, class=-60, nrcpts=1, msgid=<u7311@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:11 a.mx.h2.net sm-mta[15337]: jB88FBIQ015329: to=<u7319@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229889, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FBmJ009044 Message accepted for delivery) 
Jan  5 00:15:11 b.mx.h2.net sm-mta[11606]: jB88FBfe011606: from=<u13@h2.net>, size=1731, class=-60, nrcpts=1, msgid=<u7312@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:11 b.mx.h2.net sm-mta[11616]: jB88FBfe011606: to=<u7332@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229731, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FB9Z009055 Message accepted for delivery) 
Jan  5 00:15:11 a.mx.h2.net sm-mta[15344]: jB88FBn6015344: from=<u13@h2.net>, size=1580, class=-60, nrcpts=1, msgid=<u7363@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:12 a.mx.h2.net sm-mta[15349]: jB88FBn6015344: to=<u7377@h2.net>, delay=00:00:01, xdelay=00:00:00, mailer=esmtp, pri=229580, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FC6h009092 Message accepted for delivery) 
Jan  5 00:15:12 a.mx.h2.net sm-mta[15350]: jB88FC3S015350: from=<u13@h2.net>, size=3044, class=-60, nrcpts=1, msgid=<u7391@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:12 a.mx.h2.net sm-mta[15365]: jB88FC3S015350: to=<u6030@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=231044, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FC79009106 Message accepted for delivery) 
Jan  5 00:15:12 c.mx.h2.net sm-mta[12441]: jB88FCB0012441: from=<u13@h2.net>, size=4051, class=-60, nrcpts=1, msgid=<u7392@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:12 c.mx.h2.net sm-mta[12452]: jB88FCB0012441: to=<u7405@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=232051, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FC1s009107 Message accepted for delivery) 
Jan  5 00:15:12 b.mx.h2.net sm-mta[11626]: jB88FCWU011626: from=<u13@h2.net>, size=5736, class=-60, nrcpts=1, msgid=<u7393@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:12 b.mx.h2.net sm-mta[11632]: jB88FCWU011626: to=<u7424@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=233736, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FCYA017298 Message accepted for delivery) 
Jan  5 00:15:12 d.mx.h2.net sm-mta[16738]: jB88FCm2016738: from=<u13@h2.net>, size=1278, class=-60, nrcpts=1, msgid=<u7394@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:12 d.mx.h2.net sm-mta[16744]: jB88FCm2016738: to=<u7402@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229278, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FCNh017286 Message accepted for delivery) 
Jan  5 00:15:12 a.mx.h2.net sm-mta[15353]: jB88FCA5015353: from=<u13@h2.net>, size=1195, class=-60, nrcpts=1, msgid=<u7395@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:15:12 a.mx.h2.net sm-mta[15373]: jB88FCA5015353: to=<u7437@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229195, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88FCFn017309 Message accepted for delivery) 
